"id_order","sku"
300541,"MUV0165"
300533,"TWS0072"
300551,"RAI0001"
300553,"APP0017"
300554,"OWC0181-2"
300565,"CRU0026-2"
300585,"APP1870"
300586,"BEA0052"
300281,"MUV0145"
300604,"TPL0026"
300610,"MUJ0010"
300613,"HTE0004"
300281,"MOS0059"
300615,"LEE0005"
300616,"JBL0113"
300626,"IFX0028"
300627,"PAC0616"
300626,"APP0692"
300626,"IFX0087"
300637,"GRT0387"
300646,"NEA0004"
300646,"NEA0009"
300650,"OWC0094"
300655,"JBL0096"
300656,"BEL0227"
300657,"LGE0041"
300660,"par0066"
300646,"NEA0011"
300663,"WAC0048"
300665,"APP1646"
300671,"CRU0026-2"
300674,"DLL0014"
300675,"SYN0133"
300678,"SAN0092"
300686,"APP1638"
300693,"SAT0036"
300656,"WDT0369"
300699,"MOS0148"
300701,"SEA0096"
300699,"STA0012"
300704,"APP0893"
300705,"MOS0134"
300711,"BEA0026"
300711,"APP0017"
300716,"APP1841"
300720,"ELG0042"
300713,"APP0431"
300713,"OTT0127"
300726,"TWS0043"
300731,"APP1204"
300726,"KUA0020"
300733,"OLL0013"
300725,"CRU0016-2"
300736,"MOS0079"
300737,"NTE0007"
300738,"SAN0127"
300739,"LAC0149"
300737,"SAM0069"
300720,"OTT0137"
300726,"KUA0011"
300744,"APP1134"
300746,"CRU0045"
300736,"OTT0156"
300736,"NTE0072"
300757,"TPL0026"
300737,"WDT0357"
300760,"NTE0007"
300761,"APP0403"
300760,"OWC0094"
300773,"TRK0005"
300775,"WAC0165"
300778,"APP1495"
300778,"APP1215"
300778,"APP1622"
300779,"FCM0007-2"
300786,"THU0013"
300778,"IFX0028"
300789,"SPH0007"
300778,"TWS0060"
300791,"LOG0078"
300793,"WAC0162-A"
300796,"OWC0154"
300800,"TPL0026"
300798,"APP1567"
300806,"SPH0008"
300808,"SAN0128"
300809,"SPH0007"
300814,"WAC0165"
300819,"SAT0005"
300819,"SAT0004"
300826,"SPE0177"
300826,"BEL0280"
300831,"CRU0017-2"
300834,"TWS0035"
300839,"TOS0016"
300728,"APP1215"
300846,"FCM0016-2"
300848,"APP1758"
300848,"APP1754"
300826,"MUV0166"
300854,"JMO0065"
300860,"LEX0021"
300861,"SAN0127"
300862,"CRU0043-2"
300867,"STM0088"
300872,"TPL0018"
300846,"SAM0067"
300873,"TRK0001"
300875,"PAR0048"
300877,"BEL0264"
300880,"ELG0033"
300881,"OTR0039"
300881,"IFX0027"
300876,"WDT0169"
300882,"WAC0084"
300881,"SEA0096"
300883,"BOS0044"
300876,"OSM0001"
