"id_order","sku"
301510,"SYN0132"
301512,"APP0692"
301510,"DLK0027"
301512,"MUV0141"
301247,"ELG0033"
301517,"BEZ0152"
301563,"APP1129"
301563,"MOX0009"
301517,"SPE0127"
301587,"PIE0022"
301587,"IFX0138"
301587,"IFX0137"
301607,"KAN0046"
301607,"KUA0019"
301607,"APP0692"
301628,"SAM0068"
301628,"OWC0007"
301628,"MAC0116"
301636,"TPL0033"
301636,"APP0017"
301646,"CRU0044"
301649,"OTT0097"
301646,"MAC0116"
301649,"OTT0094"
301230,"SAT0027"
301230,"SAN0148"
301711,"SPE0060"
301726,"CRU0016-2"
301733,"ZAG0023"
301733,"APP1637"
301744,"IFX0019"
301744,"IFX0015"
301726,"SAT0005-A"
297076,"MUV0162"
301768,"GRT0382"
301776,"SYN0057"
301768,"QDO0004"
301776,"WDT0312"
297076,"XOO0005"
297076,"XOO0006"
301789,"APP1914"
301789,"STA0040"
301768,"WOE0001"
301789,"APP1041"
301807,"OWC0037-2"
301807,"WDT0314"
301807,"WAC0034"
301807,"LAC0184"
301814,"LAC0147"
301814,"LAC0193"
301861,"APP1772"
301861,"APP1686"
301919,"PAC0748"
301198,"LMP0017"
301919,"TPL0020"
301931,"IKM0036"
301931,"IKM0055"
301967,"PAC0725"
301967,"NTE0105"
301975,"OWC0094"
302002,"KAN0012-A"
302002,"IFX0057"
302016,"IFX0132"
300212,"LEX0009"
300212,"SAN0105"
300212,"SAN0106"
302016,"IFX0136"
302038,"APP1576"
302044,"TRA0004"
302044,"SAN0161"
301584,"NTE0025"
302038,"TUC0247"
302038,"NTE0102"
302095,"TRA0033"
302095,"TUC0270"
302147,"OTT0142"
302147,"IFR0007"
302147,"MUV0170"
301711,"LAC0166"
302161,"ELG0033"
302161,"OWC0007"
302171,"SAM0067"
302171,"OWC0046"
302198,"MUV0162"
302210,"APP0696"
302214,"APP0691"
302214,"APP1208"
302289,"OWC0097-A"
302289,"OWC0098"
302309,"ZAG0023"
302309,"BEL0274"
302309,"BEL0271"
302309,"BEL0280"
302309,"BEL0269"
302328,"KUA0013"
302331,"APP1639"
302328,"MOX0009"
302331,"BEL0266"
302331,"APP1638"
302374,"OWC0173"
302374,"STA0033"
302411,"TPL0032"
302450,"KIN0155"
302451,"IOT0018"
302451,"BEL0186"
302451,"BEL0206"
302465,"APP1215"
302465,"LOG0191"
302470,"NTE0014"
302470,"MOS0015"
302494,"ZAG0022"
302494,"HTE0004"
302512,"MUV0178"
302512,"IFX0028"
302411,"KAN0046"
302580,"PHI0057"
302580,"PHI0066"
302586,"APP0953"
302586,"APP0404"
302614,"MYF0006"
302641,"SEA0038"
302655,"SYN0133"
302655,"WDT0177"
302705,"IFR0007"
302705,"OTT0112"
302714,"SEA0038"
302714,"NTE0020"
302717,"LAC0180"
302717,"APP1913"
302198,"LOG0078"
302765,"BEL0286"
302768,"LAC0086"
302765,"WOE0001"
302774,"SAT0002"
302774,"SAT0028"
302768,"SAN0149"
302774,"BEL0224"
302161,"LEX0031"
302866,"GRT0440"
302866,"OTT0135"
302872,"CEL0022"
302872,"MUV0166"
302875,"ELG0033"
302875,"PHI0066"
302876,"SAT0033"
302890,"LGE0030"
302890,"SAT0034"
302922,"KIN0153-2"
302922,"APP0694"
303015,"BEL0186"
303015,"JMO0047"
303015,"KEU0001"
303015,"TPL0032"
301975,"CRU0016-2"
301975,"SAM0068"
303035,"JAW0042"
303035,"TPL0034"
303037,"PHI0070"
301975,"STA0012"
303035,"BEL0280"
303035,"PUR0144"
303048,"WDT0341"
281497,"BNQ0036-A"
281497,"APP0692"
281497,"SAN0116-A"
303120,"JAW0034"
303120,"ELG0042"
303140,"WDT0135"
303140,"QNA0160"
303198,"BEL0258"
303205,"APP0692"
303205,"APP0979"
303230,"SAM0109"
303232,"JAW0034"
303230,"FCM0003-2"
303234,"APP0865"
303234,"BEL0243"
303232,"SAN0151"
303259,"NTE0097"
303259,"IFX0003"
303264,"OWC0123"
303264,"FCM0004"
303264,"WDT0310"
303297,"ELG0033"
303297,"ELG0034"
303315,"WDT0211"
303316,"SAN0140"
303316,"APP0692"
303315,"FCM0021-2"
303346,"OWC0035-2"
303359,"BNQ0028"
303364,"CRU0026-2"
303359,"BNQ0047"
303366,"CRU0016-2"
303366,"OWC0007"
303367,"WAC0026"
303364,"CRU0045"
303367,"ADN0026"
303346,"SAM0067"
303376,"BEL0257"
303434,"PIE0025"
303434,"PIE0022"
303434,"IFX0009"
303426,"CRU0046"
303426,"OWC0002"
303455,"BEL0271"
303455,"BEL0282"
300311,"TRA0004"
300311,"IFX0014"
299701,"THU0019"
299701,"SAN0084"
303554,"PIE0003"
303554,"PIE0001"
303556,"SPE0163"
303556,"MOX0010"
302450,"FCM0022"
303571,"APP1639"
303571,"APP1674"
303599,"OWC0094"
303602,"APP0692"
303602,"APP0921"
303599,"IFX0131"
303621,"CRU0046"
303621,"MAC0116"
302586,"SEA0095"
303643,"OTR0069"
303703,"BEL0170"
303703,"TRK0005"
303704,"FCM0003-2"
303704,"KIN0156"
303737,"NTE0012"
303737,"APP0696"
303737,"WDT0341"
303737,"FCM0012"
303756,"MOX0012"
303756,"WOE0001"
303790,"PAC0743"
303790,"CRU0017-2"
303822,"SAT0030"
303822,"THU0019"
302876,"LMP0010"
303851,"CRU0015-2"
303869,"ZAG0015"
302210,"APP1208"
302210,"APP1459"
303869,"XDO0009"
303878,"ZAG0016"
303878,"APP1188"
303886,"OWC0142"
303886,"SNN0015"
303827,"APP1579"
303827,"WDT0357"
303908,"APP0692"
303908,"BEL0188"
303886,"CRU0046"
303916,"PHI0061"
303916,"PHI0062"
303922,"MOS0099"
303935,"MOS0132"
303935,"OTT0136"
303935,"OTT0139"
303943,"GRT0420"
303991,"OTT0121"
303995,"APP1688"
303995,"BEL0282"
303943,"SAN0155"
303978,"MOS0186"
303995,"MUV0166"
303991,"APP0393"
303978,"PAC1393"
304027,"JAW0034"
304027,"WOE0003"
304045,"SAT0001"
304045,"PAC1234"
303643,"SYN0092"
304128,"APP0477"
303643,"SEA0033"
304155,"CEL0030"
304155,"MOP0069"
304165,"WOE0005"
304165,"WOE0004"
304175,"APP0692"
304182,"APP1484"
304182,"APP1622"
304175,"APP0921"
304188,"MUV0141"
304188,"SYN0122"
304188,"WDT0243"
304197,"SAN0092"
304128,"TUC0219"
304197,"BEL0255"
303542,"JAW0042"
303542,"JAW0034"
304236,"MUV0178"
304236,"MUV0177"
304278,"BEL0227-A"
304278,"STA0027"
304278,"SAT0004"
304299,"APP1847"
304299,"APP1039"
304308,"CRU0026"
304308,"CRU0046"
304314,"MOX0008"
304314,"APP0692"
304321,"NTE0066"
304321,"APP0921"
304322,"APP0921"
304324,"OWC0018"
304322,"APP1134"
304328,"SPE0166"
304328,"LAC0206"
304314,"MOS0116"
304347,"BEL0170"
304350,"APP0692"
304347,"SAT0027"
303599,"WDT0169"
304350,"KIN0144"
304404,"KIN0128"
304404,"LEX0009"
304410,"QNA0144"
304410,"WDT0135"
304424,"FCM0003-2"
304424,"OWC0007"
304446,"GRT0419"
304446,"APP1042"
304446,"APP1037"
304446,"LAC0181"
304470,"APP1208"
304470,"SAT0004"
304505,"KAN0046"
304505,"APP1171"
304505,"APP1565"
304523,"APP1134"
304525,"BEL0228"
304523,"BEL0207"
304525,"TUC0271"
304527,"OWC0054"
304527,"OWC0056"
304548,"BEL0209"
304548,"BEL0208"
304324,"CRU0047"
304564,"JAW0034"
304324,"OWC0210"
304564,"JBL0097"
304324,"OTR0039"
304324,"BEZ0152"
303521,"BEL0264"
303521,"TWS0099"
304576,"APP0405-A"
304576,"HGD0006"
304603,"MAC0131"
304651,"SPE0178"
304660,"WDT0134"
304660,"WDT0177"
304660,"WDT0338"
304651,"BEL0279"
304662,"IFX0016"
304662,"IFX0029"
296253,"NTE0007"
296253,"OWC0094"
304714,"APP1209"
304714,"APP1210"
296253,"PAC0748"
296253,"NTE0020"
304726,"TRK0005"
304726,"BEL0238"
304726,"ZAG0016"
304733,"SAT0001"
304718,"SAT0004"
304718,"SAT0030"
304760,"APP1873"
304733,"STA0044"
304733,"SAT0033"
304767,"APP1638"
304767,"APP1804"
304788,"APP1215"
304781,"PAC1065"
304781,"APP1611"
304788,"BEL0260"
304781,"APP1003"
304810,"BEL0127"
304813,"APP1671"
304810,"BEL0264"
304813,"APP1639"
304810,"MOS0207"
304810,"ZAG0016"
304830,"TWS0098"
304830,"ELG0033"
304852,"PAC1285"
304852,"WDT0177"
304858,"CRU0026-2"
304859,"PHI0063"
304858,"OTT0153"
304859,"PHI0057"
304603,"BEL0209"
304603,"BEL0189"
304603,"BEL0282"
304871,"HIC0012"
304875,"MOS0187"
304877,"ELG0040"
304875,"MOS0127"
304887,"BEL0200"
304887,"KAN0011"
304890,"PHI0070"
304890,"PHI0053"
303037,"PHI0071"
304927,"KIN0150"
304927,"MUV0036"
304927,"DEV0003"
304941,"APP0999"
304941,"BEZ0152"
304953,"LEX0033"
304953,"SAN0151"
304977,"APP1209"
304995,"APP0696"
304995,"APP0692"
304995,"APP1008"
304977,"NTE0026"
305020,"STM0092"
305020,"MOS0015"
305040,"WDT0314"
305040,"OWC0037-2"
305040,"LAC0184"
305056,"PHI0060"
305056,"PHI0053"
305067,"BEL0186"
305067,"TPL0032"
305126,"NTE0007"
305020,"SAT0035"
305128,"APP1646"
305126,"CRU0045"
305140,"LOG0154"
305140,"LOG0078"
305176,"CRU0046"
305196,"BEL0186"
305198,"PHI0070"
305198,"PHI0063"
305196,"KAN0046"
305176,"TUC0273"
305236,"APP0979"
305236,"APP0692"
305240,"APP1459"
305240,"APP1208"
305284,"MUV0161"
305287,"BEL0274"
305287,"BEL0282"
305284,"JAW0034"
305329,"PIE0001"
305334,"KAN0046"
305349,"PQI0002"
305349,"SAN0155"
305334,"ZAG0023"
305334,"WOE0001"
305334,"APP1464"
305334,"CYG0067"
305354,"GRT0370"
305334,"ZAG0016"
305354,"KEU0001"
305368,"IFX0049"
305368,"APP0696"
305368,"IFX0007"
305372,"LGE0038"
305372,"APP1611"
305377,"WOE0008"
305377,"BEL0208"
305377,"APP1184"
305377,"APP1014"
305394,"SAN0093"
305394,"APP0692"
305396,"SAT0008"
305396,"MUV0162"
305397,"NEA0004"
305397,"NEA0011"
305414,"LEX0033"
305414,"SAN0150"
305421,"APP1677"
305421,"OTT0142"
304877,"PHI0070"
305432,"SAN0148"
305433,"SAT0008"
305433,"LIF0091"
305104,"PHI0066"
305104,"ELG0042"
305432,"RAI0012"
305445,"SAM0109"
305450,"GTE0075"
305451,"GRT0419"
305445,"SEV0019"
305451,"TWS0084"
305451,"NOK0001"
305451,"PAC1404"
305474,"APP1114"
305474,"WDT0360"
274550,"KIN0115"
305450,"SAM0065"
274550,"MOS0148"
274550,"BEL0223"
305496,"WDT0243"
305496,"WDT0311"
305520,"KUA0016"
305520,"PUR0101"
305520,"MOP0069"
305020,"MOS0007"
305542,"OPU0004"
