"id_order","brand_cat"
300326,"Lifeproof accessories"
301080,"Adonit accessories"
301080,"Adonit accessories"
301079,"Moshi accessories"
300535,"Belkin accessories"
301079,"Thule accessories"
301097,"Apple accessories"
301106,"Hyper Pearl other"
301106,"TrackR accessories"
301140,"iFixit accessories"
301140,"OWC accessories"
301140,"iFixit accessories"
301184,"Spek SeeThru accessories"
301184,"Elgato accessories"
301198,"Trascend accessories"
301198,"Western Digital accessories"
301198,"Xoopar accessories"
301204,"Apple accessories"
301204,"Apple accessories"
301204,"Apple tablet"
301243,"Otterbox accessories"
301243,"iOttie accessories"
301247,"Otterbox accessories"
296229,"Moshi accessories"
296229,"Apple accessories"
301276,"Elgato accessories"
301276,"Crucial accessories"
300331,"Belkin accessories"
301325,"Crucial accessories"
301325,"iFixit accessories"
301344,"Netatmo other"
301344,"Philips accessories"
301234,"Synology accessories"
301234,"Western Digital accessories"
301300,"Dell display"
301300,"Startech accessories"
301383,"Puro accessories"
301387,"Logitech accessories"
301395,"Belkin accessories"
301383,"Belkin accessories"
301387,"Twelve South accessories"
301395,"Logitech accessories"
301395,"iHealth accessories"
301395,"Oblumi other"
301430,"Crucial accessories"
301451,"SanDisk accessories"
301451,"SanDisk accessories"
301430,"OWC accessories"
300671,"Samsung accessories"
301510,"Synology other"
301512,"Apple accessories"
301510,"D-Link accessories"
301512,"Muvit accessories"
301247,"Elgato accessories"
301517,"Be.ez accessories"
301563,"Apple accessories"
301563,"Moxie accessories"
301517,"Spek SeeThru accessories"
301587,"Replacement accessories"
301587,"iFixit accessories"
301587,"iFixit accessories"
301607,"Kanex accessories"
301607,"Kukaclip accessories"
301607,"Apple accessories"
301628,"Samsung accessories"
301628,"OWC accessories"
301628,"Macally accessories"
301636,"TP-Link other"
301636,"Apple accessories"
301646,"Crucial accessories"
301649,"Otterbox accessories"
301646,"Macally accessories"
301649,"Otterbox accessories"
301230,"Satechi accessories"
301230,"SanDisk accessories"
301711,"Spek SeeThru accessories"
301726,"Crucial accessories"
301733,"ZaggKeys accessories"
301733,"Apple smartphone"
301744,"iFixit accessories"
301744,"iFixit accessories"
301726,"Satechi accessories"
297076,"Muvit accessories"
301768,"Griffin accessories"
301776,"Synology accessories"
301768,"QDos accessories"
301776,"Western Digital accessories"
297076,"Xoopar accessories"
297076,"Xoopar accessories"
301789,"Apple accessories"
301789,"Startech accessories"
301768,"Wowewa accessories"
301789,"Apple accessories"
301807,"OWC accessories"
301807,"Western Digital accessories"
301807,"Wacom accessories"
301807,"LaCie accessories"
301814,"LaCie accessories"
301814,"LaCie accessories"
301861,"Apple accessories"
301861,"Apple accessories"
301919,"Pack accessories"
301198,"LMP accessories"
301919,"TP-Link accessories"
301931,"IK Multimedia accessories"
301931,"IK Multimedia accessories"
301967,"Pack accessories"
301967,"NewerTech accessories"
301975,"OWC accessories"
302002,"Kanex accessories"
302002,"iFixit accessories"
302016,"iFixit accessories"
300212,"Lexar accessories"
300212,"SanDisk accessories"
300212,"SanDisk accessories"
302016,"iFixit accessories"
302038,"Apple laptop"
302044,"Trascend accessories"
302044,"SanDisk accessories"
301584,"NewerTech accessories"
302038,"Tucano accessories"
302038,"NewerTech accessories"
302095,"Trascend accessories"
302095,"Tucano accessories"
302147,"Otterbox accessories"
302147,"iFrogz accessories"
302147,"Muvit accessories"
301711,"LaCie accessories"
302161,"Elgato accessories"
302161,"OWC accessories"
302171,"Samsung accessories"
302171,"OWC accessories"
302198,"Muvit accessories"
302210,"Apple accessories"
302214,"Apple accessories"
302214,"Apple accessories"
302289,"OWC accessories"
302289,"OWC accessories"
302309,"ZaggKeys accessories"
302309,"Belkin accessories"
302309,"Belkin accessories"
302309,"Belkin accessories"
302309,"Belkin accessories"
302328,"Kukaclip accessories"
302331,"Apple smartphone"
302328,"Moxie accessories"
302331,"Belkin accessories"
302331,"Apple smartphone"
302374,"OWC accessories"
302374,"Startech accessories"
302411,"TP-Link accessories"
302450,"Kingston accessories"
302451,"iOttie accessories"
302451,"Belkin accessories"
302451,"Belkin accessories"
302465,"Apple accessories"
302465,"Logitech accessories"
302470,"NewerTech accessories"
302470,"Moshi accessories"
302494,"ZaggKeys accessories"
302494,"Hyper Pearl other"
302512,"Muvit accessories"
302512,"iFixit accessories"
302411,"Kanex accessories"
302580,"Philips accessories"
302580,"Philips accessories"
302586,"Apple laptop"
302586,"Apple accessories"
302614,"MyFox accessories"
302641,"Seagate accessories"
302655,"Synology accessories"
302655,"Western Digital accessories"
302705,"iFrogz accessories"
302705,"Otterbox accessories"
302714,"Seagate accessories"
302714,"NewerTech accessories"
302717,"LaCie accessories"
302717,"Apple accessories"
302198,"Logitech accessories"
302765,"Belkin accessories"
302768,"LaCie accessories"
302765,"Wowewa accessories"
302774,"Satechi accessories"
302774,"Satechi accessories"
302768,"SanDisk accessories"
302774,"Belkin accessories"
302161,"Lexar accessories"
302866,"Griffin accessories"
302866,"Otterbox accessories"
302872,"Celly accessories"
302872,"Muvit accessories"
302875,"Elgato accessories"
302875,"Philips accessories"
302876,"Satechi accessories"
302890,"LG display"
302890,"NA NA"
302922,"Kingston accessories"
302922,"Apple accessories"
303015,"Belkin accessories"
303015,"Just Mobile accessories"
303015,"Kenu Airframe accessories"
303015,"TP-Link accessories"
301975,"Crucial accessories"
301975,"Samsung accessories"
303035,"Jawbone display"
303035,"TP-Link accessories"
303037,"Philips accessories"
301975,"Startech accessories"
303035,"Belkin accessories"
303035,"Puro accessories"
303048,"Western Digital accessories"
281497,"BenQ display"
281497,"Apple accessories"
281497,"SanDisk accessories"
303120,"Jawbone display"
303120,"Elgato accessories"
303140,"Western Digital accessories"
303140,"QNAP other"
303198,"Belkin accessories"
303205,"Apple accessories"
303205,"Apple accessories"
303230,"Samsung accessories"
303232,"Jawbone display"
303230,"FCM accessories"
303234,"Apple tablet"
303234,"Belkin accessories"
303232,"SanDisk accessories"
303259,"NewerTech accessories"
303259,"iFixit accessories"
303264,"OWC accessories"
303264,"FCM accessories"
303264,"Western Digital accessories"
303297,"Elgato accessories"
303297,"Elgato accessories"
303315,"Western Digital accessories"
303316,"SanDisk accessories"
303316,"Apple accessories"
303315,"FCM accessories"
303346,"OWC accessories"
303359,"BenQ display"
303364,"Crucial accessories"
303359,"BenQ display"
303366,"Crucial accessories"
303366,"OWC accessories"
303367,"Wacom accessories"
303364,"Crucial accessories"
303367,"Adonit accessories"
303346,"Samsung accessories"
303376,"Belkin accessories"
303434,"Replacement accessories"
303434,"Replacement accessories"
303434,"iFixit accessories"
303426,"Crucial accessories"
303426,"OWC accessories"
303455,"Belkin accessories"
303455,"Belkin accessories"
300311,"Trascend accessories"
300311,"iFixit accessories"
299701,"Thule accessories"
299701,"SanDisk accessories"
303554,"Replacement accessories"
303554,"Replacement accessories"
303556,"Spek SeeThru accessories"
303556,"Moxie accessories"
302450,"FCM accessories"
303571,"Apple smartphone"
303571,"Apple accessories"
303599,"OWC accessories"
303602,"Apple accessories"
303602,"Apple accessories"
303599,"iFixit accessories"
303621,"Crucial accessories"
303621,"Macally accessories"
302586,"Seagate accessories"
303643,"Startech accessories"
303703,"Belkin accessories"
303703,"TrackR accessories"
303704,"FCM accessories"
303704,"Kingston accessories"
303737,"NewerTech accessories"
303737,"Apple accessories"
303737,"Western Digital accessories"
303737,"FCM accessories"
303756,"Moxie accessories"
303756,"Wowewa accessories"
303790,"Pack accessories"
303790,"Crucial accessories"
303822,"Satechi accessories"
303822,"Thule accessories"
302876,"LMP accessories"
303851,"Crucial accessories"
303869,"ZaggKeys accessories"
302210,"Apple accessories"
302210,"Apple accessories"
303869,"X-Doria accessories"
303878,"ZaggKeys accessories"
303878,"Apple accessories"
303886,"OWC accessories"
303886,"Sonnet accessories"
303827,"Apple laptop"
303827,"Western Digital accessories"
303908,"Apple accessories"
303908,"Belkin accessories"
303886,"Crucial accessories"
303916,"Philips accessories"
303916,"Philips accessories"
303922,"Moshi accessories"
303935,"Moshi accessories"
303935,"Otterbox accessories"
303935,"Otterbox accessories"
303943,"Griffin accessories"
303991,"Otterbox accessories"
303995,"Apple accessories"
303995,"Belkin accessories"
303943,"SanDisk accessories"
303978,"Moshi accessories"
303995,"Muvit accessories"
303991,"Apple accessories"
303978,"Pack accessories"
304027,"Jawbone display"
304027,"Wowewa accessories"
304045,"Satechi accessories"
304045,"Pack laptop"
303643,"Synology accessories"
304128,"Apple accessories"
303643,"Seagate accessories"
304155,"Celly accessories"
304155,"Mophie accessories"
304165,"Wowewa accessories"
304165,"Wowewa accessories"
304175,"Apple accessories"
304182,"Apple tablet"
304182,"Apple accessories"
304175,"Apple accessories"
304188,"Muvit accessories"
304188,"Synology accessories"
304188,"Western Digital accessories"
304197,"SanDisk accessories"
304128,"Tucano accessories"
304197,"Belkin accessories"
303542,"Jawbone display"
303542,"Jawbone display"
304236,"Muvit accessories"
304236,"Muvit accessories"
304278,"Belkin accessories"
304278,"Startech accessories"
304278,"Satechi accessories"
304299,"Apple laptop"
304299,"Apple accessories"
304308,"Crucial accessories"
304308,"Crucial accessories"
304314,"Moxie accessories"
304314,"Apple accessories"
304321,"NewerTech accessories"
304321,"Apple accessories"
304322,"Apple accessories"
304324,"OWC accessories"
304322,"Apple accessories"
304328,"Spek SeeThru accessories"
304328,"LaCie accessories"
304314,"Moshi accessories"
304347,"Belkin accessories"
304350,"Apple accessories"
304347,"Satechi accessories"
303599,"Western Digital accessories"
304350,"Kingston accessories"
304404,"Kingston accessories"
304404,"Lexar accessories"
304410,"QNAP accessories"
304410,"Western Digital accessories"
304424,"FCM accessories"
304424,"OWC accessories"
304446,"Griffin accessories"
304446,"Apple accessories"
304446,"Apple accessories"
304446,"LaCie accessories"
304470,"Apple accessories"
304470,"Satechi accessories"
304505,"Kanex accessories"
304505,"Apple smartphone"
304505,"Apple accessories"
304523,"Apple accessories"
304525,"Belkin accessories"
304523,"Belkin accessories"
304525,"Tucano accessories"
304527,"OWC accessories"
304527,"OWC accessories"
304548,"Belkin accessories"
304548,"Belkin accessories"
304324,"Crucial accessories"
304564,"Jawbone display"
304324,"OWC accessories"
304564,"JBL accessories"
304324,"Startech accessories"
304324,"Be.ez accessories"
303521,"Belkin accessories"
303521,"Twelve South accessories"
304576,"Apple accessories"
304576,"Henge Docks accessories"
304603,"Macally accessories"
304651,"Spek SeeThru accessories"
304660,"Western Digital accessories"
304660,"Western Digital accessories"
304660,"Western Digital accessories"
304651,"Belkin accessories"
304662,"iFixit accessories"
304662,"iFixit accessories"
296253,"NewerTech accessories"
296253,"OWC accessories"
304714,"Apple accessories"
304714,"Apple accessories"
296253,"Pack accessories"
296253,"NewerTech accessories"
304726,"TrackR accessories"
